task,step,layer,n,positive,negative,auc,surface_auc,initial_auc,delta_vs_surface,delta_vs_initial,auc_lo,auc_hi,surface_auc_lo,surface_auc_hi,initial_auc_lo,initial_auc_hi,delta_vs_surface_lo,delta_vs_surface_hi,delta_vs_initial_lo,delta_vs_initial_hi,min_lead
overwrite_any,0,24,228,115,113,0.6895344363216621,0.5766833397460561,0.6797614467102733,0.11285109657560599,0.009772989611388838,0.6181901299195147,0.7579038914370272,0.49468888540205824,0.6479290048952392,0.6032890604158422,0.7530924755223191,0.017872173206456447,0.2052406950182373,-0.014619754461155788,0.03855909336211549,4
overwrite_any,0,25,228,115,113,0.6936898807233551,0.5766833397460561,0.6957291265871489,0.11700654097729901,-0.0020392458637937816,0.6239684888665266,0.76350484006734,0.5025615559469726,0.6477387231548698,0.6215548250453466,0.762808704136829,0.027495673635290672,0.2060667037970378,-0.022526901901901927,0.01684845626222231,4
overwrite_any,0,28,228,115,113,0.6819545979222779,0.5766833397460561,0.6806079261254329,0.10527125817622174,0.0013466717968450004,0.605871584960568,0.7550252611673445,0.5021076169002773,0.6488349195407624,0.6107529408637488,0.7530661457707557,0.0033560325057053852,0.19795950383929806,-0.022754755832752074,0.03284737777091222,4
overwrite_any,0,24,201,88,113,0.7132944489139179,0.5783386967015286,0.7058024939662108,0.1349557522123893,0.007491954947707158,0.6468403799566018,0.777901556836277,0.4965815815815816,0.6616448584095643,0.6341891830769318,0.7736656935693771,0.03666186347637955,0.2345025503244007,-0.020382101540108687,0.03400535353170593,8
overwrite_any,0,25,201,88,113,0.732451729686243,0.5783386967015286,0.7290325824617859,0.15411303298471435,0.00341914722445702,0.6632230732341352,0.7967691657207786,0.4941359589812937,0.6589814117482389,0.6566333666333667,0.7922960431812702,0.05922822638242975,0.24794237546575887,-0.03206615890083638,0.035172795658992194,8
overwrite_any,0,28,201,88,113,0.7181214802896219,0.5783386967015286,0.726015687851971,0.13978278358809326,-0.007894207562349154,0.6465825520129234,0.783391131113578,0.4959297477590161,0.6561675312323179,0.6557040633170004,0.7948054202115,0.04325412606880098,0.23520325179926221,-0.02816618505297738,0.009742870985603506,8
overwrite_any,0,24,172,59,113,0.6958902054897256,0.5428228588570572,0.7015149242537874,0.1530673466326684,-0.005624718764061787,0.6078723549425956,0.7761382328363461,0.44227375396262675,0.6330559450842385,0.6155081149901449,0.7811495799112621,0.04321056547619047,0.2600578805560375,-0.03362380765401096,0.02260054075689517,16
overwrite_any,0,25,172,59,113,0.6798410079496024,0.5428228588570572,0.674891255437228,0.13701814909254528,0.004949752512374395,0.5883097674364012,0.7633766609008368,0.44378202790560534,0.6359699031887268,0.5787129731206406,0.760936352334891,0.024456129807692264,0.2566470907291219,-0.01577346041055717,0.025273555360650388,16
overwrite_any,0,28,172,59,113,0.7192140392980352,0.5428228588570572,0.7086395680215989,0.176391180440978,0.010574471276436292,0.638581886402867,0.7882143158473954,0.45194266852662085,0.6434037663993444,0.6245273126657824,0.7777296501177098,0.05241813832275597,0.27851421368765544,-0.014452491165674767,0.03949017088080027,16
recover_any,0,24,343,256,87,0.6627155172413792,0.6001257183908046,0.6731770833333334,0.06258979885057459,-0.010461566091954144,0.5900860825827515,0.7349670009087818,0.530111803299122,0.6667481986844139,0.6003436865123838,0.744132250527627,-0.01399491828488886,0.15139417227331148,-0.026268751856194837,0.004526065644655259,4
recover_any,0,25,343,256,87,0.6809446839080461,0.6001257183908046,0.673895474137931,0.08081896551724144,0.007049209770115028,0.6115976430976431,0.744720488221646,0.5333407060072548,0.6619670373601152,0.600900150143397,0.7326623934838123,-0.002562270095767686,0.15752513497405726,-0.011605474996946702,0.023758281232824943,4
recover_any,0,28,343,256,87,0.6355513649425287,0.6001257183908046,0.619342672413793,0.03542564655172409,0.01620869252873569,0.5586031477947859,0.6952832729527558,0.5341013734745194,0.6664937495766695,0.5474059778343824,0.6825594588676028,-0.04054867861756406,0.11483629792250351,-9.739411062367092e-05,0.03511358103921396,4
recover_any,0,24,307,220,87,0.6833333333333333,0.6079414838035527,0.6804597701149425,0.07539184952978062,0.002873563218390829,0.6150096136706791,0.7452079682506958,0.5390900791235544,0.6705506130996072,0.6131235481588947,0.7383999371345565,-8.172478206727152e-05,0.1525665698938489,-0.01638484654064667,0.023799960484873876,8
recover_any,0,25,307,220,87,0.7120689655172414,0.6079414838035527,0.7040752351097179,0.10412748171368869,0.007993730407523492,0.6501151369400677,0.7720062980123646,0.5388391122766122,0.6725527442465075,0.6432753992130339,0.7700072915527362,0.03309440811688325,0.18209682500554758,-0.010135334054313834,0.02665522882381035,8
