task,step,layer,n,positive,negative,auc,surface_auc,initial_auc,delta_vs_surface,delta_vs_initial,auc_lo,auc_hi,surface_auc_lo,surface_auc_hi,initial_auc_lo,initial_auc_hi,delta_vs_surface_lo,delta_vs_surface_hi,delta_vs_initial_lo,delta_vs_initial_hi
final_correct_replication,0,24,924,651,273,0.7882997698665901,0.7770350489244499,0.7883504104702262,0.01126472094214026,-5.0640603636131765e-05,0.7578951215806233,0.8191377218251494,0.7453382180139148,0.8051526529557422,0.756901709440918,0.8192432813348757,-0.0217915366781972,0.04746353318454655,-0.0028442819858981424,0.0029841680297914694
final_correct_replication,0,25,924,651,273,0.7913888466883859,0.7770350489244499,0.7914001001558605,0.014353797763936083,-1.1253467474547918e-05,0.7600525506010567,0.8213033056343841,0.7443092913401185,0.8070006189357366,0.7595819923208783,0.8220254447195321,-0.021415818986152635,0.04664955963999983,-0.0024360433175879795,0.0026350028507521597
final_correct_replication,0,28,924,651,273,0.8006110632838744,0.7770350489244499,0.8009205336394276,0.02357601435942458,-0.00030947035555317637,0.770417821080367,0.8297343205492771,0.74689158917438,0.805791207362184,0.7705827646408089,0.8290049854415568,-0.007479499315198961,0.05122899617554717,-0.002246826267429819,0.0017106480075215114
recover_any,0,24,407,320,87,0.6684626436781609,0.6202945402298851,0.6520474137931034,0.04816810344827582,0.016415229885057503,0.5972640791103623,0.7240822749834916,0.5595315448676479,0.6839040612754874,0.5778673683991338,0.7127126683265995,-0.02700778107885267,0.11950074657962362,-0.0015979577929037558,0.034998892185419184
recover_any,0,25,407,320,87,0.6737787356321839,0.6202945402298851,0.6758261494252873,0.05348419540229887,-0.0020474137931033587,0.6028446629908265,0.7365272889212129,0.5568036687252244,0.6849097723820332,0.6071007525083612,0.7412607955907645,-0.024284147241636383,0.1232021267472772,-0.017417640372675534,0.014420009120033078
recover_any,0,28,407,320,87,0.6685344827586207,0.6202945402298851,0.6708333333333333,0.048239942528735646,-0.0022988505747125743,0.5988579613291365,0.7374051815159768,0.5460453729217598,0.6888559768160037,0.59532686781202,0.7363506003869515,-0.024220721777623258,0.1233992021097915,-0.020918475093594572,0.015152723735242457
overwrite_any,0,24,285,172,113,0.6898538793990533,0.6097962543733279,0.6983432805103931,0.08005762502572544,-0.008489401111339778,0.6272618923390606,0.7537364682429344,0.5423036739948505,0.6738679118551241,0.6315610845733958,0.7641272235505747,0.0058915839171144275,0.15757026600484117,-0.02175859387439859,0.006147364642593192
overwrite_any,0,25,285,172,113,0.7353364889895041,0.6097962543733279,0.7415620498044866,0.12554023461617625,-0.006225560814982489,0.6707862989780882,0.7901284250691577,0.5385531755384884,0.6727162610991834,0.6783329882677709,0.7977140965017253,0.0530756843931262,0.20376886198992186,-0.020237939348885615,0.007030334653878295
overwrite_any,0,28,285,172,113,0.7288536735953901,0.6097962543733279,0.7306544556493105,0.11905741922206226,-0.0018007820539204245,0.6703528721188431,0.7900594219179963,0.5471137796013686,0.6809406146798337,0.6726137494225919,0.7891340983450763,0.041206817213138604,0.19224492244985128,-0.013697542997542939,0.00917256208703576
transient_recovery,0,24,137,56,81,0.5082671957671958,0.5185185185185186,0.49492945326278664,-0.010251322751322789,0.013337742504409167,0.3983444972630366,0.6049213047968127,0.42255201630201633,0.6142072409050078,0.383962767876877,0.5942691432629047,-0.1429333055479899,0.11978151661748888,-0.028166154066232775,0.05690414535856864
transient_recovery,0,25,137,56,81,0.5595238095238095,0.5185185185185186,0.5386904761904763,0.041005291005290934,0.02083333333333326,0.4670740095110282,0.6575265830346475,0.4284083850931677,0.6085606554462486,0.45167323789133557,0.6384589346349745,-0.07579114819004519,0.17279891304347827,-0.020639482799808907,0.06832581824800611
transient_recovery,0,28,137,56,81,0.6176146384479717,0.5185185185185186,0.6146384479717812,0.09909611992945311,0.0029761904761904656,0.5102387157789011,0.7044262143424647,0.41463782991202347,0.6198507882882883,0.5054626909518214,0.7034726972077118,-0.03905326650862356,0.23440428380187414,-0.030709104274737133,0.036919072629741055
transient_overwrite,0,24,251,139,112,0.6838386433710174,0.6039953751284688,0.6883992805755396,0.07984326824254862,-0.0045606372045221555,0.6243298207224192,0.7414001421464108,0.5354696974374458,0.6676521662349894,0.6257483308071828,0.7444290126948926,0.006435900694957477,0.15974450386215097,-0.019754173283474848,0.015497461082710667
transient_overwrite,0,25,251,139,112,0.7100462487153136,0.6039953751284688,0.6968782117163412,0.10605087358684484,0.013168036998972399,0.6496969341161122,0.7780031980699681,0.5331073193002484,0.6755755460267702,0.6343592143592144,0.7680844567332409,0.03196633869375089,0.1887568497514974,-0.005247531313758832,0.03203793014137837
transient_overwrite,0,28,251,139,112,0.6959146968139773,0.6039953751284688,0.6959789311408017,0.09191932168550854,-6.423432682434171e-05,0.6318746465611522,0.7560657493435654,0.5394557619532785,0.6723258866474616,0.633206168789751,0.7565346576856822,0.006937757161272987,0.1774814621457923,-0.013580615198363585,0.014072901515999011
finish_correct_from_wrong,0,24,379,242,137,0.741479157869337,0.6612475116124751,0.7399710442178923,0.08023164625686197,0.0015081136514447646,0.6899885439236039,0.7949519410613823,0.6008776301398969,0.7168589156633741,0.6916457858083793,0.7925674608381446,0.016304126546774857,0.1423270285366554,-0.008399137821731986,0.011249799369278488
finish_correct_from_wrong,0,25,379,242,137,0.7021173915666286,0.6612475116124751,0.7017252820172528,0.040869879954153476,0.00039210954937574094,0.6435200314693779,0.7564011591154238,0.6002707404792375,0.7194131983502062,0.6418496136711622,0.7564760432091485,-0.01950580888087703,0.10148950041508398,-0.010303001543653783,0.01060299939493171
finish_correct_from_wrong,0,28,379,242,137,0.7262472099897448,0.6612475116124751,0.7226880617723351,0.06499969837726971,0.003559148217409658,0.6727313107165313,0.7803531558500251,0.6095360416691502,0.7122601584288518,0.6703742876166322,0.7768627906976744,-0.0013627600838303788,0.12193938154044531,-0.007880432430573897,0.016352816974550675
final_correct_replication,1,24,924,651,273,0.7939490105388722,0.7865667358754916,0.7877202162916448,0.007382274663380595,0.006228794247227443,0.7596656560228419,0.8241167037627317,0.7577857353159094,0.8181768681129477,0.7560702336956165,0.8201007786078466,-0.023792228761132024,0.03864154806559003,-0.005936940153677958,0.018242059409345767
final_correct_replication,1,25,924,651,273,0.8019671061145716,0.7865667358754916,0.7928799311287791,0.015400370239079919,0.009087174985792479,0.7705232291880215,0.8291815251342328,0.7559543353951943,0.8149649779463612,0.7626899691514459,0.8237166453594656,-0.01146496587082004,0.043826306171364036,-0.003029951099875408,0.022190400918821778
final_correct_replication,1,28,924,651,273,0.8044372422252607,0.7865667358754916,0.7992325135182277,0.017870506349769055,0.005204728707033035,0.7732296954028175,0.8337453074523736,0.7544669406485724,0.8171482272217949,0.7703678811974344,0.8302192478799079,-0.014302558997144528,0.05051297657950201,-0.007253032107713152,0.018703960012026004
recover_any,1,24,391,298,93,0.7056000577325541,0.6451252074763658,0.6775997690697841,0.06047485025618826,0.028000288662769934,0.640121698573318,0.7641541766747664,0.578669439903967,0.7094532247750365,0.6124440457763535,0.7417787721925296,-0.019999446355780465,0.14190287518064473,-0.0028573132294062217,0.06201914154336169
recover_any,1,25,391,298,93,0.7223064155300569,0.6451252074763658,0.6778523489932886,0.07718120805369111,0.04445406653676831,0.6562300671850766,0.7779699086612996,0.5894516669274902,0.6995541436905618,0.6109094950213372,0.7393788003127484,0.003068010205840869,0.14379950706639927,0.0037063400352919506,0.08091062957908926
