task,step,n,positive,negative,min_class
final_correct_replication,0,924,651,273,273
recover_any,0,407,320,87,87
overwrite_any,0,285,172,113,113
transient_recovery,0,137,56,81,56
transient_overwrite,0,251,139,112,112
finish_correct_from_wrong,0,379,242,137,137
finish_wrong_from_correct,0,273,22,251,22
final_correct_replication,1,924,651,273,273
recover_any,1,391,298,93,93
overwrite_any,1,298,182,116,116
transient_recovery,1,137,52,85,52
transient_overwrite,1,259,144,115,115
finish_correct_from_wrong,1,365,228,137,137
finish_wrong_from_correct,1,283,24,259,24
final_correct_replication,2,924,651,273,273
recover_any,2,410,317,93,93
overwrite_any,2,281,165,116,116
transient_recovery,2,138,52,86,52
transient_overwrite,2,244,129,115,115
finish_correct_from_wrong,2,383,245,138,138
finish_wrong_from_correct,2,268,24,244,24
final_correct_replication,4,924,651,273,273
recover_any,4,402,307,95,95
overwrite_any,4,282,161,121,121
transient_recovery,4,144,55,89,55
transient_overwrite,4,249,129,120,120
finish_correct_from_wrong,4,373,229,144,144
finish_wrong_from_correct,4,271,22,249,22
final_correct_replication,8,924,651,273,273
recover_any,8,409,303,106,106
overwrite_any,8,287,150,137,137
transient_recovery,8,144,47,97,47
transient_overwrite,8,251,117,134,117
finish_correct_from_wrong,8,376,232,144,144
finish_wrong_from_correct,8,275,24,251,24
final_correct_replication,16,924,651,273,273
recover_any,16,380,263,117,117
overwrite_any,16,305,147,158,147
transient_recovery,16,154,45,109,45
transient_overwrite,16,262,108,154,108
finish_correct_from_wrong,16,354,200,154,154
finish_wrong_from_correct,16,285,23,262,23
final_correct_replication,24,924,651,273,273
recover_any,24,313,191,122,122
overwrite_any,24,362,156,206,156
transient_recovery,24,151,42,109,42
transient_overwrite,24,322,121,201,121
finish_correct_from_wrong,24,288,137,151,137
finish_wrong_from_correct,24,341,19,322,19
final_correct_replication,32,924,651,273,273
recover_any,32,266,127,139,127
overwrite_any,32,422,141,281,141
transient_recovery,32,149,22,127,22
transient_overwrite,32,374,104,270,104
finish_correct_from_wrong,32,249,100,149,100
finish_wrong_from_correct,32,393,19,374,19
final_correct_replication,40,924,651,273,273
recover_any,40,243,71,172,71
overwrite_any,40,474,110,364,110
transient_recovery,40,166,8,158,8
transient_overwrite,40,428,77,351,77
finish_correct_from_wrong,40,224,58,166,58
finish_wrong_from_correct,40,448,20,428,20
final_correct_replication,48,924,651,273,273
recover_any,48,224,47,177,47
overwrite_any,48,436,42,394,42
transient_recovery,48,179,10,169,10
transient_overwrite,48,412,27,385,27
finish_correct_from_wrong,48,214,35,179,35
finish_wrong_from_correct,48,420,8,412,8
final_correct_replication,56,924,651,273,273
recover_any,56,269,16,253,16
overwrite_any,56,593,12,581,12
transient_recovery,56,248,2,246,2
transient_overwrite,56,579,2,577,2
finish_correct_from_wrong,56,260,12,248,12
finish_wrong_from_correct,56,588,9,579,9
final_correct_replication,60,924,651,273,273
recover_any,60,277,6,271,6
overwrite_any,60,642,4,638,4
transient_recovery,60,268,1,267,1
transient_overwrite,60,634,1,633,1
finish_correct_from_wrong,60,273,5,268,5
finish_wrong_from_correct,60,637,3,634,3
final_correct_replication,62,924,651,273,273
recover_any,62,277,3,274,3
overwrite_any,62,651,0,651,0
transient_recovery,62,272,0,272,0
transient_overwrite,62,647,0,647,0
finish_correct_from_wrong,62,275,3,272,3
finish_wrong_from_correct,62,647,0,647,0
final_correct_replication,63,924,651,273,273
recover_any,63,273,0,273,0
overwrite_any,63,651,0,651,0
transient_recovery,63,273,0,273,0
transient_overwrite,63,651,0,651,0
finish_correct_from_wrong,63,273,0,273,0
finish_wrong_from_correct,63,651,0,651,0
