task,step,n,positive,negative,min_class
recover_any,0,73,59,14,14
overwrite_any,0,64,37,27,27
transient_recovery,0,19,5,14,5
transient_overwrite,0,58,31,27,27
finish_correct_from_wrong,0,67,48,19,19
finish_wrong_from_correct,0,60,2,58,2
recover_any,1,71,55,16,16
overwrite_any,1,69,43,26,26
transient_recovery,1,20,4,16,4
transient_overwrite,1,62,36,26,26
finish_correct_from_wrong,1,65,45,20,20
finish_wrong_from_correct,1,64,2,62,2
recover_any,2,80,64,16,16
overwrite_any,2,63,36,27,27
transient_recovery,2,22,6,16,6
transient_overwrite,2,58,31,27,27
finish_correct_from_wrong,2,73,51,22,22
finish_wrong_from_correct,2,60,2,58,2
recover_any,4,77,58,19,19
overwrite_any,4,66,37,29,29
transient_recovery,4,26,7,19,7
transient_overwrite,4,60,31,29,29
finish_correct_from_wrong,4,70,44,26,26
finish_wrong_from_correct,4,62,2,60,2
recover_any,8,76,58,18,18
overwrite_any,8,61,31,30,30
transient_recovery,8,24,6,18,6
transient_overwrite,8,56,26,30,26
finish_correct_from_wrong,8,69,45,24,24
finish_wrong_from_correct,8,57,1,56,1
recover_any,16,72,47,25,25
overwrite_any,16,63,26,37,26
transient_recovery,16,29,4,25,4
transient_overwrite,16,54,18,36,18
finish_correct_from_wrong,16,65,36,29,29
finish_wrong_from_correct,16,57,3,54,3
recover_any,24,51,29,22,22
overwrite_any,24,79,37,42,37
transient_recovery,24,24,4,20,4
transient_overwrite,24,68,27,41,27
finish_correct_from_wrong,24,47,23,24,23
finish_wrong_from_correct,24,71,3,68,3
recover_any,32,41,20,21,20
overwrite_any,32,91,31,60,31
transient_recovery,32,21,2,19,2
transient_overwrite,32,81,24,57,24
finish_correct_from_wrong,32,37,16,21,16
finish_wrong_from_correct,32,83,2,81,2
recover_any,40,50,15,35,15
overwrite_any,40,94,21,73,21
transient_recovery,40,31,1,30,1
transient_overwrite,40,82,14,68,14
finish_correct_from_wrong,40,43,12,31,12
finish_wrong_from_correct,40,86,4,82,4
recover_any,48,48,9,39,9
overwrite_any,48,91,7,84,7
transient_recovery,48,37,1,36,1
transient_overwrite,48,84,3,81,3
finish_correct_from_wrong,48,45,8,37,8
finish_wrong_from_correct,48,87,3,84,3
recover_any,56,53,2,51,2
overwrite_any,56,121,1,120,1
transient_recovery,56,50,0,50,0
transient_overwrite,56,119,0,119,0
finish_correct_from_wrong,56,51,1,50,1
finish_wrong_from_correct,56,120,1,119,1
recover_any,60,54,0,54,0
overwrite_any,60,127,0,127,0
transient_recovery,60,54,0,54,0
transient_overwrite,60,126,0,126,0
finish_correct_from_wrong,60,54,0,54,0
finish_wrong_from_correct,60,126,0,126,0
recover_any,62,54,0,54,0
overwrite_any,62,127,0,127,0
transient_recovery,62,54,0,54,0
transient_overwrite,62,127,0,127,0
finish_correct_from_wrong,62,54,0,54,0
finish_wrong_from_correct,62,127,0,127,0
recover_any,63,54,0,54,0
overwrite_any,63,127,0,127,0
transient_recovery,63,54,0,54,0
transient_overwrite,63,127,0,127,0
finish_correct_from_wrong,63,54,0,54,0
finish_wrong_from_correct,63,127,0,127,0
