tag,problem_id,candidate_a,candidate_b,globally_viable,n_samples,n_correct,n_candidate_parsed,parse_rate,p_viable_first_total,p_viable_first_given_candidate,first_branch_entropy_given_candidate,pass_at_1,pass_at_half,pass_at_n
e01,0,j,v,v,16,14,16,1.0,1.0,1.0,0.0,0.875,1.0,1.0
e01,1,h,o,h,16,12,16,1.0,1.0,1.0,0.0,0.75,1.0,1.0
e01,2,f,v,f,16,16,16,1.0,1.0,1.0,0.0,1.0,1.0,1.0
e01,3,l,u,l,16,1,16,1.0,1.0,1.0,0.0,0.0625,0.5,1.0
e01,4,j,n,j,16,2,16,1.0,1.0,1.0,0.0,0.125,0.7666666666666666,1.0
e01,5,r,x,r,16,6,16,1.0,1.0,1.0,0.0,0.375,0.9965034965034965,1.0
e01,6,b,z,z,16,15,16,1.0,1.0,1.0,0.0,0.9375,1.0,1.0
e01,7,b,r,r,16,1,16,1.0,1.0,1.0,0.0,0.0625,0.5,1.0
e01,8,d,p,d,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,9,f,n,f,16,12,16,1.0,1.0,1.0,0.0,0.75,1.0,1.0
e01,10,b,i,i,16,13,16,1.0,1.0,1.0,0.0,0.8125,1.0,1.0
e01,11,n,o,o,16,1,16,1.0,1.0,1.0,0.0,0.0625,0.5,1.0
e01,12,j,v,v,16,1,16,1.0,1.0,1.0,0.0,0.0625,0.5,1.0
e01,13,h,w,h,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,14,d,x,d,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,15,l,t,l,16,15,16,1.0,1.0,1.0,0.0,0.9375,1.0,1.0
e01,16,h,t,t,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,17,d,l,d,16,1,16,1.0,1.0,1.0,0.0,0.0625,0.5,1.0
e01,18,r,z,r,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,19,r,u,u,16,4,16,1.0,1.0,1.0,0.0,0.25,0.9615384615384616,1.0
e01,20,p,q,q,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,21,c,u,u,16,10,16,1.0,1.0,1.0,0.0,0.625,1.0,1.0
e01,22,g,l,l,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,23,h,u,u,16,1,16,1.0,1.0,1.0,0.0,0.0625,0.5,1.0
e01,24,e,y,y,16,0,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0
e01,25,g,o,g,16,16,16,1.0,1.0,1.0,0.0,1.0,1.0,1.0
