lr,checkpoint,problems,samples_per_problem,parse_rate,mean_viable_first,first_branch_entropy,pass_at_1,pass_at_2,pass_at_8,pass_at_32
1e-5,e01,200,64,1.0,1.0,0.0,0.670859375,0.783487103,0.933715294,0.984218148
1e-5,e02,200,64,1.0,1.0,0.0,0.431484375,0.635944940,0.925459177,0.983161913
1e-5,e04,200,64,1.0,1.0,0.0,0.813125000,0.952435516,0.999830704,1.000000000
1e-5,e08,200,64,1.0,1.0,0.0,0.664453125,0.872442956,0.998152629,0.999999999
1e-5,e16,200,64,1.0,1.0,0.0,0.797031250,0.931760913,0.997743217,0.999999945
2e-5,e01,200,64,1.0,1.0,0.0,0.290937500,0.363556548,0.534734478,0.747131528
2e-5,e02,200,64,1.0,1.0,0.0,0.241875000,0.400942460,0.766516219,0.960613802
2e-5,e04,200,64,1.0,1.0,0.0,0.296250000,0.482497520,0.849882540,0.990849964
2e-5,e08,200,64,1.0,1.0,0.0,0.227656250,0.391063988,0.810531805,0.991358550
2e-5,e16,200,64,1.0,1.0,0.0,0.349921875,0.549739583,0.892478627,0.984384620
