lr,checkpoint,condition,n,output_choice_acc,mean_p_true_viable_pair,mean_pair_entropy,mean_abs_margin,wrong_commit_rate,strong_wrong_commit_rate,mean_wrong_abs_margin
1e-5,e01,original,200,1.0,0.999999057,0.0000128094,15.1640625,0.0,0.0,0.0
1e-5,e02,original,200,1.0,0.999999950,0.00000083696,18.1756250,0.0,0.0,0.0
1e-5,e04,original,200,1.0,0.999999993,0.00000012349,20.4193750,0.0,0.0,0.0
1e-5,e08,original,200,1.0,0.999999999,0.00000001489,22.9203125,0.0,0.0,0.0
1e-5,e16,original,200,1.0,0.999999800,0.00000222894,28.9714063,0.0,0.0,0.0
2e-5,e01,original,200,1.0,0.999998348,0.0000219441,14.3106250,0.0,0.0,0.0
2e-5,e02,original,200,1.0,0.999999995,0.00000008791,22.1184375,0.0,0.0,0.0
2e-5,e04,original,200,1.0,0.9999999998,0.00000000384,24.2468750,0.0,0.0,0.0
2e-5,e08,original,200,1.0,1.0000000000,0.00000000108,25.6462500,0.0,0.0,0.0
2e-5,e16,original,200,1.0,1.0000000000,0.00000000004,31.5355078,0.0,0.0,0.0
