model,num_updates,ri_accuracy,pi_accuracy,I,n_ri,n_pi
deltanet_1.3b,1,0.5833333333333334,0.4583333333333333,0.12500000000000006,24,24
deltanet_1.3b,3,0.25,0.125,0.125,24,24
deltanet_1.3b,7,0.20833333333333334,0.125,0.08333333333333334,24,24
deltanet_1.3b,15,0.16666666666666666,0.0,0.16666666666666666,24,24
deltanet_1.3b,AUC,0.25085832971998434,0.14424353958899097,0.10661479013099337,96,96
gated_deltanet_1.3b,1,0.5416666666666666,0.4583333333333333,0.08333333333333331,24,24
gated_deltanet_1.3b,3,0.25,0.20833333333333334,0.04166666666666666,24,24
gated_deltanet_1.3b,7,0.20833333333333334,0.08333333333333333,0.125,24,24
gated_deltanet_1.3b,15,0.125,0.041666666666666664,0.08333333333333334,24,24
gated_deltanet_1.3b,AUC,0.2383154132339851,0.1630579143179898,0.07525749891599531,96,96
gla_1.3b,1,0.4583333333333333,0.5416666666666666,-0.08333333333333331,24,24
gla_1.3b,3,0.20833333333333334,0.20833333333333334,0.0,24,24
gla_1.3b,7,0.2916666666666667,0.08333333333333333,0.20833333333333337,24,24
gla_1.3b,15,0.041666666666666664,0.08333333333333333,-0.041666666666666664,24,24
gla_1.3b,AUC,0.2257724967479859,0.18187228904698863,0.043900207700997285,96,96
transformer_1.3b,1,0.4583333333333333,0.5416666666666666,-0.08333333333333331,24,24
transformer_1.3b,3,0.3333333333333333,0.08333333333333333,0.25,24,24
transformer_1.3b,7,0.2916666666666667,0.041666666666666664,0.25,24,24
transformer_1.3b,15,0.25,0.041666666666666664,0.20833333333333334,24,24
transformer_1.3b,AUC,0.2947585374209816,0.12542916485999217,0.16932937256098946,96,96
