suite,task_id,init_idx,env_seed,sim_state_hash,checkpoint,policy_seed,success,status,steps,replans
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110000,0,ok,520,104
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110001,1,ok,295,59
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110002,1,ok,408,82
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110003,1,ok,256,52
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110004,1,ok,252,51
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110005,1,ok,237,48
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110006,1,ok,242,49
libero_10,1,0,7,2b2d3506d9f2365e2e0191e2882fccbf328c1a2b1c9cdcadb77463bf8d8446f7,2k,110007,1,ok,320,64
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110000,0,ok,520,104
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110001,1,ok,369,74
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110002,1,ok,293,59
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110003,1,ok,487,98
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110004,0,ok,520,104
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110005,0,ok,520,104
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110006,0,ok,520,104
libero_10,1,1,7,1156d8e9cc61e2117c46eaaa23b0afdbdfa012183014b119d6149840bcf079c8,2k,110007,1,ok,352,71
libero_10,1,2,7,8c54f65259113001d44b1c4654a6b24c9135f241bc63a3c609bb713850da6508,2k,110000,1,ok,235,47
libero_10,1,2,7,8c54f65259113001d44b1c4654a6b24c9135f241bc63a3c609bb713850da6508,2k,110001,0,ok,520,104
libero_10,1,2,7,8c54f65259113001d44b1c4654a6b24c9135f241bc63a3c609bb713850da6508,2k,110002,0,ok,520,104
libero_10,1,2,7,8c54f65259113001d44b1c4654a6b24c9135f241bc63a3c609bb713850da6508,2k,110003,0,ok,520,104
