setting,layer,math500,gsm8k,olympiad,amc,math_avg,c_math
Base,,57.4,74.4,18.7,26.1,44.1,0.0
Full,,64.0,82.0,26.9,30.2,50.8,1.0
Layer 0,0,63.4,81.7,23.6,31.9,50.1,0.89
Layer 1,1,64.4,79.4,25.9,30.2,50.0,0.87
Layer 2,2,67.8,80.0,26.1,30.5,51.1,1.03
Layer 3,3,62.2,79.8,24.6,30.0,49.1,0.75
Layer 4,4,61.2,81.3,25.5,29.2,49.3,0.77
Layer 5,5,63.4,79.8,24.4,29.8,49.3,0.78
Layer 6,6,63.8,80.4,25.6,30.0,50.0,0.87
Layer 7,7,64.0,80.1,24.9,29.0,49.5,0.80
Layer 8,8,62.4,79.8,25.0,28.7,49.0,0.72
Layer 9,9,65.8,81.7,24.6,32.4,51.1,1.04
Layer 10,10,68.6,80.5,27.3,30.8,51.8,1.14
Layer 11,11,64.0,81.8,26.1,29.4,50.3,0.92
Layer 12,12,65.6,81.3,27.3,32.4,51.6,1.12
Layer 13,13,64.6,79.7,28.3,31.0,50.9,1.01
Layer 14,14,64.4,79.6,27.1,30.0,50.3,0.92
Layer 15,15,63.2,81.5,26.1,31.4,50.5,0.95
Layer 16,16,64.8,80.9,23.0,30.8,49.9,0.85
Layer 17,17,63.6,79.5,26.2,29.6,49.7,0.83
Layer 18,18,61.8,78.5,24.3,29.7,48.6,0.66
Layer 19,19,59.8,77.9,23.1,29.6,47.6,0.52
Layer 20,20,60.6,74.9,21.6,28.1,46.3,0.32
Layer 21,21,60.6,75.0,24.3,27.4,46.8,0.40
Layer 22,22,60.6,76.5,24.3,27.9,47.3,0.47
Layer 23,23,60.6,73.5,22.4,28.6,46.3,0.32
Layer 24,24,60.6,74.8,21.2,27.6,46.1,0.28
Layer 25,25,60.8,74.2,22.7,28.3,46.5,0.35
Layer 26,26,60.6,74.4,23.4,27.8,46.5,0.36
Layer 27,27,61.8,75.8,25.0,28.3,47.7,0.54
