layer,necessity_conditional_mean,net_accuracy_drop_mean,paper_c_matched_tasks,paper_c_math_4task,baseline_wrong_to_correct_rate_all_items,parser_fallback_rate,truncation_rate,necessity_conditional_gsm8k,net_accuracy_drop_gsm8k,paper_leverage_gsm8k,necessity_conditional_math500,net_accuracy_drop_math500,paper_leverage_math500
0,0.9675,0.65625,0.9366197183098587,0.89,0.0078125,0.0546875,0.984375,0.995,0.76953125,0.960526315789474,0.94,0.54296875,0.909090909090909
1,0.9508333333333333,0.64453125,0.8450704225352119,0.87,0.0078125,0.10546875,0.078125,0.975,0.7578125,0.6578947368421058,0.9266666666666666,0.53125,1.0606060606060614
2,0.965,0.65625,1.1267605633802826,1.03,0.005859375,0.255859375,0.173828125,0.99,0.76953125,0.7368421052631577,0.94,0.54296875,1.5757575757575752
3,0.55,0.33984375,0.7183098591549294,0.75,0.04296875,0.01171875,0.4140625,0.62,0.44140625,0.7105263157894731,0.48,0.23828125,0.7272727272727277
4,0.4191666666666667,0.25,0.7535211267605632,0.77,0.03515625,0.00390625,0.140625,0.405,0.2734375,0.9078947368421049,0.43333333333333335,0.2265625,0.5757575757575762
5,0.3833333333333333,0.201171875,0.8028169014084497,0.78,0.0546875,0.0078125,0.173828125,0.32,0.171875,0.7105263157894731,0.44666666666666666,0.23046875,0.909090909090909
6,0.705,0.466796875,0.8732394366197174,0.87,0.015625,0.17578125,0.40625,0.71,0.546875,0.7894736842105269,0.7,0.38671875,0.9696969696969693
7,0.6108333333333333,0.384765625,0.8661971830985911,0.8,0.03125,0.009765625,0.275390625,0.595,0.4296875,0.7499999999999991,0.6266666666666667,0.33984375,1.0
8,0.8258333333333333,0.55078125,0.7323943661971821,0.72,0.015625,0.029296875,0.630859375,0.845,0.64453125,0.7105263157894731,0.8066666666666666,0.45703125,0.7575757575757575
9,0.39666666666666667,0.2109375,1.1056338028169015,1.04,0.05078125,0.0,0.126953125,0.3,0.1796875,0.960526315789474,0.49333333333333335,0.2421875,1.2727272727272723
10,0.505,0.294921875,1.2183098591549293,1.14,0.044921875,0.0,0.068359375,0.45,0.30078125,0.8026315789473683,0.56,0.2890625,1.696969696969696
11,0.6058333333333333,0.369140625,0.9859154929577473,0.92,0.03515625,0.017578125,0.291015625,0.505,0.34375,0.9736842105263154,0.7066666666666667,0.39453125,1.0
12,0.5700000000000001,0.341796875,1.0633802816901392,1.12,0.04296875,0.00390625,0.302734375,0.52,0.3671875,0.9078947368421049,0.62,0.31640625,1.2424242424242415
13,0.495,0.296875,0.8802816901408458,1.01,0.037109375,0.0,0.193359375,0.45,0.30859375,0.6973684210526317,0.54,0.28515625,1.09090909090909
14,0.48750000000000004,0.29296875,0.8591549295774646,0.92,0.04296875,0.001953125,0.12890625,0.515,0.34375,0.6842105263157885,0.46,0.2421875,1.0606060606060614
15,0.5225,0.3203125,0.9084507042253512,0.95,0.033203125,0.001953125,0.283203125,0.485,0.3515625,0.9342105263157894,0.56,0.2890625,0.8787878787878792
16,0.44916666666666666,0.263671875,0.9788732394366189,0.85,0.03515625,0.0,0.21875,0.365,0.23828125,0.8552631578947375,0.5333333333333333,0.2890625,1.1212121212121207
17,0.73,0.48046875,0.7957746478873233,0.83,0.013671875,0.005859375,0.3984375,0.68,0.51953125,0.6710526315789471,0.78,0.44140625,0.9393939393939397
18,0.4658333333333333,0.26953125,0.5985915492957751,0.66,0.041015625,0.0,0.107421875,0.385,0.24609375,0.539473684210526,0.5466666666666666,0.29296875,0.6666666666666663
19,0.5241666666666667,0.322265625,0.4154929577464776,0.52,0.033203125,0.001953125,0.197265625,0.495,0.3515625,0.460526315789474,0.5533333333333333,0.29296875,0.36363636363636337
20,0.8708333333333333,0.587890625,0.26056338028168957,0.32,0.013671875,0.0,0.1484375,0.935,0.73046875,0.06578947368421058,0.8066666666666666,0.4453125,0.4848484848484852
21,0.755,0.486328125,0.26760563380281593,0.4,0.033203125,0.001953125,0.1953125,0.79,0.58203125,0.07894736842105195,0.72,0.390625,0.4848484848484852
22,0.4691666666666667,0.2734375,0.3732394366197174,0.47,0.041015625,0.0,0.140625,0.405,0.2578125,0.2763157894736837,0.5333333333333333,0.2890625,0.4848484848484852
23,0.43333333333333335,0.228515625,0.16197183098591442,0.32,0.056640625,0.001953125,0.091796875,0.32,0.19921875,-0.11842105263157979,0.5466666666666666,0.2578125,0.4848484848484852
24,0.335,0.142578125,0.2535211267605632,0.28,0.076171875,0.001953125,0.111328125,0.23,0.0859375,0.052631578947367336,0.44,0.19921875,0.4848484848484852
25,0.3208333333333333,0.14453125,0.2253521126760557,0.35,0.068359375,0.0,0.087890625,0.255,0.125,-0.026315789473684605,0.38666666666666666,0.1640625,0.5151515151515148
26,0.3575,0.185546875,0.2253521126760557,0.36,0.052734375,0.00390625,0.205078125,0.295,0.1484375,0.0,0.42,0.22265625,0.4848484848484852
27,0.21333333333333332,0.078125,0.40845070422535124,0.54,0.06640625,0.0,0.080078125,0.2,0.07421875,0.1842105263157885,0.22666666666666666,0.08203125,0.6666666666666663
