step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.197216796875,1.6103976249694825
4000,0.0,0.1999267578125,1.6080413818359376
8000,0.0,0.2,1.6098340988159179
12000,0.0,0.2,1.6109375
16000,0.0,0.2,1.6065699577331543
20000,0.0,0.2,1.607938003540039
24000,0.0,0.2,1.610927677154541
28000,0.0,0.2,1.6109285354614258
32000,0.0,0.2,1.6125
36000,0.0,0.2,1.6125
40000,0.0,0.2,1.6125
44000,0.0,0.2,1.6062887191772461
48000,0.0,0.2,1.6109375
52000,0.0,0.2,1.6063030242919922
56000,0.0,0.19990234375,1.606980037689209
60000,0.0,0.2,1.609375
64000,0.0,0.2,1.60936279296875
68000,0.0,0.2,1.60625
72000,0.0,0.2,1.6125
76000,0.0,0.2,1.6088046073913573
80000,0.0,0.2,1.609375
84000,0.0,0.2,1.6078125
88000,0.0,0.2,1.6078125
92000,0.0,0.2,1.6109375
96000,0.0,0.2,1.60625
100000,0.0,0.2,1.609375
104000,0.0,0.2,1.609375
108000,0.0,0.2,1.6078125
112000,0.0,0.2,1.609375
116000,0.0,0.2,1.609375
120000,0.0,0.2,1.609375
124000,0.0,0.19957275390625,1.607980728149414
128000,0.0,0.2,1.609375
132000,0.0,0.2,1.6125
136000,0.0,0.2,1.6109375
140000,0.0,0.2,1.609375
144000,0.0,0.2,1.6109375
148000,0.0,0.2,1.609375
152000,0.0,0.2,1.6078125
156000,0.0,0.2,1.60625
160000,0.0,0.2,1.6125
