step,exact_accuracy,token_accuracy,eval_loss
0,0.0,0.2033935546875,1.6088891983032227
4000,0.1121826171875,0.5789794921875,1.1225017070770265
8000,0.9931640625,0.9986328125,0.007168447598814964
12000,0.9996337890625,0.9999267578125,0.00047023338847793637
16000,1.0,1.0,0.00020885777776129543
20000,1.0,1.0,2.41957648540847e-05
24000,0.9998779296875,0.9999755859375,0.0003815159579971805
28000,0.99847412109375,0.99969482421875,0.001900046959053725
32000,0.99993896484375,0.99998779296875,0.00016322195588145406
36000,0.99993896484375,0.99998779296875,0.00017767406243365257
40000,0.99993896484375,0.99998779296875,0.00018272690504090862
44000,0.9998779296875,0.9999755859375,0.00021980664459988474
48000,0.9998779296875,0.9999755859375,0.00024516034900443626
52000,0.9998779296875,0.9999755859375,0.00021781532559543847
56000,1.0,1.0,2.2620361414737998e-05
60000,1.0,1.0,6.083250627852976e-06
64000,0.99951171875,0.99990234375,0.00042175130802206694
68000,1.0,1.0,1.8348704907111822e-05
72000,1.0,1.0,4.399137105792761e-06
76000,0.999755859375,0.999951171875,0.0004894834841252304
80000,1.0,1.0,1.7063907580450178e-05
84000,1.0,1.0,3.823846927843988e-05
88000,0.99981689453125,0.99996337890625,0.00039950192149262875
92000,0.99835205078125,0.999658203125,0.0016577204107306898
96000,0.9979248046875,0.9995849609375,0.0019916451361496
100000,1.0,1.0,1.8391103367321193e-05
104000,1.0,1.0,1.7804020899347961e-06
108000,1.0,1.0,3.420049324631691e-07
112000,1.0,1.0,4.3502950575202703e-08
116000,0.999755859375,0.999951171875,0.000428558120620437
120000,0.99993896484375,0.99998779296875,0.00012461054866435005
124000,0.99993896484375,0.99998779296875,5.12661092216149e-05
128000,0.9996337890625,0.9999267578125,0.00033503771119285374
132000,1.0,1.0,1.3486012176144867e-05
136000,1.0,1.0,1.9143088138662277e-06
140000,1.0,1.0,5.49857213627547e-07
144000,1.0,1.0,5.547190085053444e-08
148000,1.0,1.0,1.7123238649219275e-08
152000,1.0,1.0,1.0841176845133305e-08
156000,0.99969482421875,0.99993896484375,0.0002754611807176843
160000,1.0,1.0,1.1359885684214533e-05
